NOME DO CAMPO,SIGNIFICADO,POSIÇÃO,PICTURE,CONTEÚDO
Tipo,IDENTIFICAÇÃO DO REGISTRO HEADER,001 001,9(01),0
Operacao,TIPO DE OPERAÇÃO - REMESSA,002 002,9(01),1
Remessa,IDENTIFICAÇÃO POR EXTENSO DO MOVIMENTO,003 009,X(07),REMESSA
CodServ,IDENTIFICAÇÃO DO TIPO DE SERVIÇO,010 011,9(02),1
Cobranca,IDENTIFICAÇÃO POR EXTENSO DO TIPO DE SERVIÇO,012 026,X(15),COBRANCA
Agencia,AGÊNCIA MANTENEDORA DA CONTA,027 030,9(04),
ZEROS,COMPLEMENTO DE REGISTRO,031 032,9(02),
Conta,NÚMERO DA CONTA CORRENTE DA EMPRESA,033 037,9(05),
DAC,DÍGITO DE AUTO CONFERÊNCIA AG/CONTA EMPRESA,038 038,9(01),
BRANCOS1,COMPLEMENTO DO REGISTRO,039 046,X(08),
Empresa,"NOME POR EXTENSO DA ""EMPRESA MÃE""",047 076,X(30),
CodigoBanco,Nº DO BANCO NA CÂMARA DE COMPENSAÇÃO,077 079,9(03),341
NomeBanco,NOME POR EXTENSO DO BANCO COBRADOR,080 094,X(15),BANCO ITAU SA
Geracao,DATA DE GERAÇÃO DO ARQUIVO,095 100,9(06),
BRANCOS2,COMPLEMENTO DO REGISTRO,101 394,X(294),
Sequencia,NÚMERO SEQÜENCIAL DO REGISTRO NO ARQUIVO,395 400,9(06),1
